Player,Tm,Pos,Type,Class,Details
Aaron Rodgers,GNB,QB,Knee,probable,Rodgers is dealing with an ongoing knee injury but is likely to be available against the 49ers on Monday.
Bashaud Breeland,GNB,CB,Hamstring,questionable,Breeland was absent from the lineup during the previous game with an injured hamstring and it has yet to be established if he will line up against the 49ers on Monday.
Jaire Alexander,GNB,CB,Groin,questionable,Alexander missed the previous game due to a groin injury and it is unknown if he will be active against the 49ers on Monday.
Nick Perry,GNB,LB,Ankle,questionable,Perry left the last game due to an ankle injury and it is uncertain if he will suit up against the 49ers on Monday.
Davon House,GNB,CB,Shoulder,I-R,House has landed on injured reserve while recovering from shoulder surgery.
Jake Ryan,GNB,LB,Knee,I-R,Ryan is on injured reserve with a torn ACL.
Andre Hal,HOU,S,Illness,I-R,Hal is on the IR/Non-Football Illness list as his Hodgkin's Lymphoma is in remission. It is unclear if he will be recovered in time for Week 7 against the Jaguars.
Bruce Ellington,HOU,WR,Hamstring,I-R,Ellington has been placed on the injured reserve list due to an injured hamstring and it is uncertain if he will return against the Titans in Week 12.
Dylan Cole,HOU,LB,Wrist,I-R,Cole dislocated his wrist and is on injured reserve.
Seantrel Henderson,HOU,T,Ankle,I-R,Henderson has landed on the injured reserve list after undergoing surgery for a broken ankle.
Kevin Johnson,HOU,CB,Concussion,I-R,Johnson has been placed on injured reserve due to a concussion and it is unknown if he will be activated in time for Week 11 against the Redskins.
Jermaine Kelly,HOU,CB,Undisclosed,I-R,Kelly has been placed on injured reserve with an unspecified ailment and it is uncertain if he will be available against the Broncos in Week 9.
D'Onta Foreman,HOU,RB,Achilles,I-R,Foreman has been placed on the active PUP list as he is recovering from a torn Achilles and it is undetermined if he will suit up Week 7 against the Jaguars.
Jadeveon Clowney,HOU,DE,Illness,probable,Clowney is ailing from an illness but is expected to play Sunday against the Bills.
Ryan Griffin,HOU,TE,Toe,probable,"Griffin is tending to an injured toe, leaving but is likely to be available for Sunday's contest against the Bills."
Keke Coutee,HOU,WR,Hamstring,probable,Coutee left the previous game with a hamstring injury but is likely to be healed up in time for Sunday's matchup against the Bills.
Shareece Wright,HOU,CB,Shoulder,probable,Wright is battling injuries to his shoulder and hand but is expected to be available for Sunday's tilt against the Bills.
Deshaun Watson,HOU,QB,Chest,probable,Watson sustained a chest injury last game but it is likely he will be available for Sunday's matchup against the Bills.
Johnathan Joseph,HOU,CB,Hip,questionable,Joseph is nursing a hip injury and it is unknown if it will hinder his availability against the Bills on Sunday.
DeAndre Hopkins,HOU,WR,Foot,probable,Hopkins is expected to suit up against the Bills on Sunday despite a foot injury.
Will Fuller,HOU,WR,Hamstring,probable,Fuller V is likely to be available for Sunday's matchup against the Bills despite a hamstring injury.
Kayvon Webster,HOU,CB,Quadricep,I-R,Webster has been placed on injured reserve with a strained quadriceps muscle.
Brian Peters,HOU,LB,Ankle,questionable,Peters was held out of the last game with an injured ankle and it is unclear if he will be available for Sunday's contest against the Bills.
Lamar Miller,HOU,RB,Chest,probable,Miller missed the last game due to a chest injury but is expected to suit up against the Bills on Sunday.
Aaron Colvin,HOU,CB,Ankle,out,Colvin has suffered a severe ankle injury and will be held out of action for at least six weeks.
Cam Robinson,JAX,OL,Knee,I-R,Robinson has landed on injured reserve after suffering a torn ACL.
DeAndre Goolsby,JAX,TE,Undisclosed,I-R,Goolsby is on injured reserve due to an unspecified injury.
Michael Hughes,JAX,DT,Undisclosed,I-R,Hughes is on injured reserve with an unspecified injury.
Tashaun Gipson,JAX,S,Hamstring,probable,Gipson Sr. has suffered a hamstring injury but is expected to play Sunday against the Cowboys.
Carson Tinker,JAX,LS,Knee,I-R,Tinker is suffering from a knee injury and it is expected he will miss the remainder of the 2018 season.
Jalen Ramsey,JAX,CB,Knee,probable,Ramsey was confined to a limited role in practice due to a knee injury but it is likely he will take the field against the Cowboys on Sunday.
Jamaal Charles,JAX,RB,Acquired,probable,Charles was recently acquired but is expected to be available for Sunday's game against the Cowboys.
Yannick Ngakoue,JAX,DE,Shoulder,probable,Ngakoue is hampered by a shoulder injury but is expected to be in the lineup against the Cowboys on Sunday.
Malik Jackson,JAX,DT,Back,probable,Jackson has a back injury but is expected to play Sunday against the Cowboys.
Jermey Parnell,JAX,OL,Knee,questionable,Parnell is hobbled by a knee injury and it has yet to be established if it will hinder is availability for Sunday's matchup against the Cowboys.
